type,name,size,i,time,verification
sorting,nativo,1,0,0.000005,1
sorting,nativo,1,1,0.000003,1
sorting,nativo,1,2,0.000002,1
sorting,nativo,1,3,0.000002,1
sorting,nativo,1,4,0.000003,1
sorting,nativo,1,5,0.000002,1
sorting,nativo,1,6,0.000002,1
sorting,nativo,1,7,0.000003,1
sorting,nativo,1,8,0.000002,1
sorting,nativo,1,9,0.000001,1
sorting,nativo,1,10,0.000002,1
sorting,nativo,1,11,0.000002,1
sorting,nativo,2,0,0.000002,1
sorting,nativo,2,1,0.000002,1
sorting,nativo,2,2,0.000002,1
sorting,nativo,2,3,0.000002,1
sorting,nativo,2,4,0.000003,1
sorting,nativo,2,5,0.000003,1
sorting,nativo,2,6,0.000001,1
